x	Ei	EA
0.000001	-13.23829589	-13.23829489
0.000002	-12.54514971	-12.54514771
0.000003	-12.1396856	-12.1396826
0.000004	-11.85200453	-11.85200053
0.000005	-11.62886198	-11.62885698
0.000006	-11.44654142	-11.44653542
0.000007	-11.29239174	-11.29238474
0.000008	-11.15886135	-11.15885335
0.000009	-11.04107932	-11.04107032
0.00001	-10.9357198	-10.9357098
0.00002	-10.24258262	-10.24256262
0.00003	-9.837127511	-9.837097511
0.00004	-9.549455439	-9.549415439
0.00005	-9.326321887	-9.326271888
0.00006	-9.14401033	-9.143950331
0.00007	-8.98986965	-8.989799651
0.00008	-8.856348257	-8.856268258
0.00009	-8.738575221	-8.738485223
0.0001	-8.633224705	-8.633124707
0.0002	-7.940177517	-7.939977527
0.0003	-7.534812396	-7.534512418
0.0004	-7.247230306	-7.246830346
0.0005	-7.024186732	-7.023686795
0.0006	-6.841965148	-6.841365238
0.0007	-6.687914436	-6.687214558
0.0008	-6.554483005	-6.553683165
0.0009	-6.436799927	-6.43590013
0.001	-6.331539364	-6.330539614
0.002	-5.639391434	-5.637392434
0.003	-5.234925077	-5.231927325
0.004	-4.948241257	-4.944245253
0.005	-4.726095459	-4.721101702
0.006	-4.544771157	-4.538780145
0.007	-4.391617234	-4.384629465
0.008	-4.259082101	-4.251098072
0.009	-4.142294827	-4.133315037
0.01	-4.037929577	-4.027954521
0.02	-3.354707783	-3.334807341
0.03	-2.959118724	-2.929342232
0.04	-2.681263689	-2.64166016
0.05	-2.467898489	-2.418516609
0.06	-2.295306918	-2.236195052
0.07	-2.15083818	-2.082044372
0.08	-2.026941003	-1.948512979
0.09	-1.91874477	-1.830729944
0.1	-1.822923958	-1.725369428
0.2	-1.222650544	-1.032222248
0.3	-0.905676652	-0.626757139
0.4	-0.702380119	-0.339075067
0.5	-0.559773595	-0.115931516
0.6	-0.454379503	0.066390041
0.7	-0.373768843	0.220540721
0.8	-0.310596579	0.354072114
0.9	-0.260183939	0.471855149
1	-0.219383934	0.577215665
2	-0.048900511	1.270362845
3	-0.013048381	1.675827954
4	-0.003779352	1.963510026
5	-0.001148296	2.186653577
6	-0.000360082	2.368975134
7	-0.000115482	2.523125814
8	-3.76656E-05	2.656657207
9	-1.24474E-05	2.774440242
10	-4.16E-06	2.879800758
