double porosity				Homogeneous			
dTime	p-p@dt=0	Derivative			dTime	p-p@dt=0	Derivative
(hr)	(psia)	(psia)			(hr)	(psia)	(psia)
1.00E-04	4.114102252	3.322092585			1.00E-04	4.091078888	3.311832499
2.00E-04	8.149334911	8.321127707			2.00E-04	8.079313878	8.195781185
3.00E-04	12.11610214	11.99727855			3.00E-04	11.98160926	11.77031388
4.00E-04	16.01941725	15.62680005			4.00E-04	15.80575964	15.27427438
5.00E-04	19.86275448	19.17303619			5.00E-04	19.557046	18.67483091
6.00E-04	23.64881373	22.62868494			6.00E-04	23.23950716	21.96734638
7.00E-04	27.37983095	25.99319591			7.00E-04	26.85644173	25.15334701
8.00E-04	31.05772955	29.26816358			8.00E-04	30.41065297	28.23611013
9.00E-04	34.68421959	32.45986733			9.00E-04	33.90459553	31.22284497
0.001009817	38.60926631	35.87128558			0.001009817	37.67465803	34.39583701
0.001133033	42.94388833	39.57990584			0.001133033	41.82452969	37.82284831
0.001271284	47.72287642	43.59575596			0.001271284	46.3836907	41.50726904
0.001426404	52.98218211	47.92672375			0.001426404	51.38193159	45.44951277
0.001600451	58.75841239	52.57607719			0.001600451	56.84882776	49.64466277
0.001795736	65.08827127	57.54153171			0.001795736	62.81303763	54.08168166
0.002014849	72.0078397	62.81327503			0.002014849	69.30159516	58.74157939
0.002260698	79.55156234	68.37288619			0.002260698	76.33878613	63.59663299
0.002536545	87.75127856	74.19080059			0.002536545	83.94526106	68.60828558
0.00284605	96.63462549	80.22526319			0.00284605	92.1364277	73.72665069
0.003193321	106.2238281	86.41946674			0.003193321	100.9214497	78.88855995
0.003582965	116.5334431	92.70095902			0.003582965	110.3011899	84.01784798
0.004020152	127.5690127	98.97911217			0.004020152	120.2672742	89.02436178
0.004510685	139.3242259	105.1457467			0.004510685	130.7998067	93.80573334
0.005061072	151.7797156	111.074196			0.005061072	141.8668425	98.24853771
0.005678616	164.9000047	116.6222184			0.005678616	153.4223686	102.2322364
0.006371512	178.6329737	121.6344486			0.006371512	165.4066849	105.6336565
0.007148954	192.9073715	125.948552			0.007148954	177.7454169	108.3331845
0.008021258	207.6336996	129.4026753			0.008021258	190.3513224	110.2228433
0.009	222.7034386	131.8446993			0.009	203.1251644	111.2134454
0.010098166	237.9920635	133.1446417			0.010098166	215.9591646	111.2446094
0.011330329	253.3611253	133.2045882			0.011330329	228.7401824	110.2899094
0.012712838	268.6635534	131.9728171			0.012712838	241.3543547	108.3650103
0.014264039	283.7489895	129.4495368			0.014264039	253.6921481	105.5272108
0.016004515	298.4704108	125.6964598			0.016004515	265.652893	101.8772761
0.017957361	312.6916689	120.8331871			0.017957361	277.1502578	97.55154932
0.02014849	326.2932803	115.0360592			0.02014849	288.1149673	92.71543528
0.022606978	339.1797004	108.5237934			0.022606978	298.4987757	87.55020906
0.025365446	351.2818072	101.5443228			0.025365446	308.2741479	82.24060315
0.028460499	362.5611448	94.35476579			0.028460499	317.4353744	76.96197811
0.031933205	373.0077949	87.20207202			0.031933205	325.9952983	71.86789385
0.035829645	382.6401639	80.306724			0.035829645	333.9835685	67.083403
0.040201523	391.4991015	73.84675345			0.040201523	341.4418227	62.69805004
0.045106851	399.6440073	67.95261537			0.045106851	348.4203281	58.76734824
0.050610719	407.1457694	62.70126061			0.050610719	354.9735047	55.31282766
0.056786161	414.0815061	58.12265264			0.056786161	361.1565773	52.32919715
0.063715121	420.5290047	54.20375532			0.063715121	367.0227476	49.78909441
0.071489541	426.562382	50.90090559			0.071489541	372.62094	47.65134839
0.080212584	432.2493714	48.14850664			0.080212584	377.994876	45.86667848
0.09	437.6489854	45.87027206			0.09	383.182133	44.38357952
0.100981661	442.8113918	43.98709551			0.100981661	388.2145729	43.15238667
0.113303287	447.7773884	42.42336087			0.113303287	393.1183372	42.12780204
0.127128379	452.5797317	41.11133692			0.127128379	397.9148578	41.27070723
0.142640387	457.2436236	39.99264366			0.142640387	402.6212687	40.54819842
0.160045147	461.7883782	39.01941464			0.160045147	407.2514255	39.93379129
0.179573608	466.2281758	38.15299715			0.179573608	411.816364	39.40633632
0.201484902	470.5734304	37.36335875			0.201484902	416.3250698	38.94952092
0.226069779	474.8314071	36.62704783			0.226069779	420.7848226	38.55065955
0.253654464	479.0071199	35.92614919			0.253654464	425.2016872	38.20010517
0.284604989	483.1037087	35.24660803			0.284604989	429.5807219	37.89034409
0.31933205	487.1229513	34.57739504			0.31933205	433.9262613	37.61556482
0.358296453	491.0654481	33.90947819			0.358296453	438.2420258	37.37110884
0.402015233	494.9308972	33.23535621			0.402015233	442.5312771	37.15322193
0.45106851	498.7181717	32.54856232			0.45106851	446.7968713	36.958763
0.506107193	502.4254806	31.84350515			0.506107193	451.0413468	36.78508292
0.56786161	506.0504097	31.11530483			0.56786161	455.2669496	36.62988109
0.637151206	509.5900443	30.35984737			0.637151206	459.4756886	36.49115375
0.714895411	513.0410229	29.57380393			0.714895411	463.6693483	36.36712243
0.802125844	516.3996643	28.7548398			0.802125844	467.849528	36.25621361
0.9	519.6620694	27.90173419			0.9	472.01765	36.15701857
1.009816609	522.8242761	27.01472012			1.009816609	476.1749892	36.06828488
1.133032871	525.8824386	26.09565767			1.133032871	480.3226795	35.98888939
1.27128379	528.8330233	25.14848556			1.27128379	484.4617372	35.91783352
1.426403873	531.6730914	24.17939454			1.426403873	488.5930663	35.85422257
1.600451469	534.4005346	23.19732894			1.600451469	492.7174771	35.79726196
1.795736083	537.0144738	22.21405985			1.795736083	496.8356905	35.74624052
2.014849025	539.515511	21.24458188			2.014849025	500.9483531	35.70052722
2.260697788	541.9062196	20.30691814			2.260697788	505.0560406	35.65955746
2.536544638	544.1913517	19.42214607			2.536544638	509.1592697	35.62283036
2.846049894	546.378334	18.61374104			2.846049894	513.2585005	35.58989766
3.193320503	548.4773239	17.90693331			3.193320503	517.3541465	35.56036143
3.582964535	550.5015577	17.32751372			3.582964535	521.4465763	35.53386525
4.020152329	552.4671314	16.90040119			4.020152329	525.5361213	35.51009248
4.510685103	554.3930189	16.64813929			4.510685103	529.6230772	35.48875918
5.061071927	556.3005071	16.588961			5.061071927	533.7077101	35.46961275
5.6786161	558.2127683	16.73555572			5.6786161	537.7902574	35.45242651
6.371512059	560.1540112	17.09332289			6.371512059	541.870933	35.43699854
7.148954113	562.1486514	17.66006743			7.148954113	545.9499278	35.42314739
8.021258443	564.220392	18.42516626			8.021258443	550.0274141	35.41071132
9	566.3912027	19.37046416			9	554.1035455	35.39954485
10.09816609	568.6806062	20.47063031			10.09816609	558.1784605	35.38951816
11.33032871	571.1047395	21.69492296			11.33032871	562.2522831	35.38051439
12.7128379	573.6760469	23.00845601			12.7128379	566.325125	35.37242918
14.26403873	576.4026323	24.37418425			14.26403873	570.397086	35.36516856
16.00451469	579.2884102	25.75459241			16.00451469	574.468256	35.35864853
17.95736083	582.3328464	27.11339908			17.95736083	578.5387157	35.35279342
20.14849025	585.5315011	28.41731706			20.14849025	582.6085375	35.3475356
22.60697788	588.8761754	29.63724102			22.60697788	586.6777865	35.34281407
25.36544638	592.355728	30.74981442			25.36544638	590.7465212	35.3385743
28.46049894	595.9565819	31.73790997			28.46049894	594.814794	35.33476714
31.93320503	599.6636518	32.59161834			31.93320503	598.882652	35.33134861
35.82964535	603.4610793	33.30779365			35.82964535	602.9501376	35.32827904
40.20152329	607.3330547	33.89006852			40.20152329	607.0172889	35.32552297
45.10685103	611.264556	34.34747917			45.10685103	611.0841399	35.32304841
50.61071927	615.2418541	34.69349428			50.61071927	615.1507213	35.32082672
56.786161	619.2530282	34.94421787			56.786161	619.2170608	35.3188321
63.71512059	623.2880576	35.11695673			63.71512059	623.283183	35.31704144
71.48954113	627.3390064	35.22875545			71.48954113	627.3491101	35.31543392
80.21258443	631.3997783	35.29521196			80.21258443	631.4148621	35.31399089
90	635.4660292	35.33009216			90	635.480457	35.31269373
100	639.1894948	0			100	639.2009614	0
