td	t	rD=1	Dp		Dp'	Dp/2Dp'
0.01000000	0.00000001	0.10809625	1.22105524	-18.55239929		
0.01023293	0.00000001	0.10929550	1.23460192	-18.52937344	0.31083036	1.98597383
0.01047129	0.00000001	0.11050747	1.24829233	-18.50634759	0.31412748	1.98691996
0.01071519	0.00000001	0.11173229	1.26212797	-18.48332174	0.31745473	1.98788657
0.01096478	0.00000001	0.11297009	1.27611015	-18.46029589	0.32081460	1.98885921
0.01122018	0.00000001	0.11422099	1.29024030	-18.43727004	0.32420496	1.98985280
0.01148154	0.00000001	0.11548511	1.30451978	-18.41424419	0.32763049	1.99084001
0.01174898	0.00000001	0.11676258	1.31895012	-18.39121834	0.33108548	1.99185742
0.01202264	0.00000001	0.11805353	1.33353263	-18.36819248	0.33457650	1.99286655
0.01230269	0.00000001	0.11935808	1.34826890	-18.34516663	0.33809790	1.99390307
0.01258925	0.00000001	0.12067637	1.36316025	-18.32214078	0.34165481	1.99493791
0.01288250	0.00000001	0.12200852	1.37820827	-18.29911493	0.34524260	1.99599972
0.01318257	0.00000001	0.12335466	1.39341429	-18.27608908	0.34886723	1.99705528
0.01348963	0.00000001	0.12471494	1.40877996	-18.25306323	0.35252403	1.99813324
0.01380384	0.00000001	0.12608947	1.42430667	-18.23003738	0.35621436	1.99922692
0.01412538	0.00000001	0.12747839	1.43999592	-18.20701153	0.35994179	2.00031776
0.01445440	0.00000001	0.12888185	1.45584933	-18.18398568	0.36370148	2.00143446
0.01479108	0.00000001	0.13029996	1.47186833	-18.16095983	0.36749651	2.00256098
0.01513561	0.00000001	0.13173287	1.48805447	-18.13793398	0.37132808	2.00369236
0.01548817	0.00000001	0.13318072	1.50440936	-18.11490812	0.37519416	2.00484111
0.01584893	0.00000001	0.13464364	1.52093452	-18.09188227	0.37909556	2.00600413
0.01621810	0.00000001	0.13612177	1.53763150	-18.06885642	0.38303307	2.00717849
0.01659587	0.00000001	0.13761525	1.55450190	-18.04583057	0.38700737	2.00836216
0.01698244	0.00000001	0.13912423	1.57154734	-18.02280472	0.39101615	2.00956835
0.01737801	0.00000002	0.14064884	1.58876932	-17.99977887	0.39506354	2.01077698
0.01778279	0.00000002	0.14218923	1.60616957	-17.97675302	0.39914720	2.01200154
0.01819701	0.00000002	0.14374554	1.62374967	-17.95372717	0.40326637	2.01324707
0.01862087	0.00000002	0.14531792	1.64151118	-17.93070132	0.40742476	2.01449608
0.01905461	0.00000002	0.14690650	1.65945583	-17.90767547	0.41161982	2.01576278
0.01949845	0.00000002	0.14851144	1.67758524	-17.88464961	0.41585224	2.01704488
0.01995262	0.00000002	0.15013288	1.69590106	-17.86162376	0.42012271	2.01834012
0.02041738	0.00000002	0.15177098	1.71440495	-17.83859791	0.42443182	2.01964704
0.02089296	0.00000002	0.15342587	1.73309862	-17.81557206	0.42877915	2.02096885
0.02137962	0.00000002	0.15509771	1.75198376	-17.79254621	0.43316418	2.02230915
0.02187762	0.00000002	0.15678665	1.77106201	-17.76952036	0.43758875	2.02366036
0.02238721	0.00000002	0.15849284	1.79033513	-17.74649451	0.44205300	2.02502316
0.02290868	0.00000002	0.16021644	1.80980486	-17.72346866	0.44655449	2.02640989
0.02344229	0.00000002	0.16195758	1.82947284	-17.70044281	0.45109698	2.02780436
0.02398833	0.00000002	0.16371644	1.84934088	-17.67741696	0.45567877	2.02921555
0.02454709	0.00000002	0.16549316	1.86941071	-17.65439111	0.46030018	2.03064303
0.02511886	0.00000002	0.16728790	1.88968407	-17.63136525	0.46496228	2.03208320
0.02570396	0.00000002	0.16910081	1.91016275	-17.60833940	0.46966373	2.03354295
0.02630268	0.00000002	0.17093205	1.93084848	-17.58531355	0.47440603	2.03501679
0.02691535	0.00000002	0.17278179	1.95174308	-17.56228770	0.47918913	2.03650599
0.02754229	0.00000002	0.17465017	1.97284832	-17.53926185	0.48401280	2.03801253
