t	p	p+skin
0.008765877	2987.789448	2967.789448
0.00897006	2987.653981	2967.653981
0.009179	2987.517077	2967.517077
0.009392806	2987.378720	2967.378720
0.009611593	2987.238899	2967.238899
0.009835476	2987.097597	2967.097597
0.010064573	2986.954802	2966.954802
0.010299007	2986.810499	2966.810499
0.010538902	2986.664674	2966.664674
0.010784384	2986.517311	2966.517311
0.011035585	2986.368397	2966.368397
0.011292637	2986.217917	2966.217917
0.011555676	2986.065857	2966.065857
0.011824842	2985.912200	2965.912200
0.012100278	2985.756933	2965.756933
0.01238213	2985.600041	2965.600041
0.012670547	2985.441507	2965.441507
0.012965682	2985.281317	2965.281317
0.013267691	2985.119455	2965.119455
0.013576736	2984.955906	2964.955906
0.013892978	2984.790655	2964.790655
0.014216587	2984.623685	2964.623685
0.014547734	2984.454981	2964.454981
0.014886595	2984.284527	2964.284527
0.015233348	2984.112307	2964.112307
0.015588178	2983.938304	2963.938304
0.015951273	2983.762503	2963.762503
0.016322826	2983.584888	2963.584888
0.016703034	2983.405442	2963.405442
0.017092097	2983.224148	2963.224148
0.017490224	2983.040989	2963.040989
0.017897623	2982.855951	2962.855951
0.018314512	2982.669014	2962.669014
0.018741112	2982.480162	2962.480162
0.019177649	2982.289380	2962.289380
0.019624354	2982.096649	2962.096649
0.020081464	2981.901951	2961.901951
0.020549221	2981.705272	2961.705272
0.021027874	2981.506591	2961.506591
0.021517676	2981.305893	2961.305893
0.022018887	2981.103159	2961.103159
0.022531773	2980.898373	2960.898373
0.023056605	2980.691515	2960.691515
0.023593662	2980.482569	2960.482569
0.024143229	2980.271517	2960.271517
0.024705597	2980.058340	2960.058340
0.025281065	2979.843020	2959.843020
0.025869936	2979.625540	2959.625540
0.026472525	2979.405881	2959.405881
0.027089149	2979.184025	2959.184025
0.027720136	2978.959952	2958.959952
0.028365821	2978.733646	2958.733646
0.029026546	2978.505087	2958.505087
0.029702661	2978.274256	2958.274256
0.030394525	2978.041135	2958.041135
0.031102504	2977.805705	2957.805705
0.031826975	2977.567948	2957.567948
0.03256832	2977.327843	2957.327843
0.033326934	2977.085372	2957.085372
0.034103218	2976.840517	2956.840517
0.034897584	2976.593257	2956.593257
0.035710453	2976.343574	2956.343574
0.036542256	2976.091448	2956.091448
0.037393435	2975.836860	2955.836860
0.03826444	2975.579791	2955.579791
0.039155733	2975.320220	2955.320220
0.040067787	2975.058129	2955.058129
0.041001086	2974.793498	2954.793498
0.041956124	2974.526307	2954.526307
0.042933408	2974.256536	2954.256536
0.043933455	2973.984166	2953.984166
0.044956797	2973.709177	2953.709177
0.046003975	2973.431548	2953.431548
0.047075546	2973.151261	2953.151261
0.048172076	2972.868295	2952.868295
0.049294148	2972.582630	2952.582630
0.050442356	2972.294246	2952.294246
0.051617309	2972.003123	2952.003123
0.052819631	2971.709241	2951.709241
0.054049958	2971.412580	2951.412580
0.055308943	2971.113119	2951.113119
0.056597254	2970.810839	2950.810839
0.057915574	2970.505719	2950.505719
0.059264601	2970.197738	2950.197738
0.06064505	2969.886878	2949.886878
0.062057655	2969.573117	2949.573117
0.063503164	2969.256435	2949.256435
0.064982342	2968.936812	2948.936812
0.066495975	2968.614228	2948.614228
0.068044866	2968.288662	2948.288662
0.069629834	2967.960094	2947.960094
0.071251721	2967.628503	2947.628503
0.072911387	2967.293870	2947.293870
0.074609712	2966.956173	2946.956173
0.076347595	2966.615394	2946.615394
0.078125959	2966.271511	2946.271511
0.079945746	2965.924504	2945.924504
0.081807922	2965.574353	2945.574353
0.083713473	2965.221038	2945.221038
0.085663411	2964.864538	2944.864538
0.087658768	2964.504834	2944.504834
0.089700603	2964.141906	2944.141906
0.091789998	2963.775732	2943.775732
0.093928062	2963.406294	2943.406294
0.096115928	2963.033570	2943.033570
0.098354755	2962.657542	2942.657542
0.100645732	2962.278190	2942.278190
0.102990072	2961.895493	2941.895493
0.105389019	2961.509431	2941.509431
0.107843844	2961.119986	2941.119986
0.11035585	2960.727137	2940.727137
0.112926368	2960.330864	2940.330864
0.115556761	2959.931149	2939.931149
0.118248424	2959.527971	2939.527971
0.121002784	2959.121312	2939.121312
0.123821301	2958.711153	2938.711153
0.126705469	2958.297473	2938.297473
0.129656819	2957.880254	2937.880254
0.132676914	2957.459477	2937.459477
0.135767356	2957.035123	2937.035123
0.138929784	2956.607173	2936.607173
0.142165875	2956.175609	2936.175609
0.145477343	2955.740412	2935.740412
0.148865946	2955.301564	2935.301564
0.152333479	2954.859046	2934.859046
0.155881782	2954.412841	2934.412841
0.159512735	2953.962929	2933.962929
0.163228264	2953.509294	2933.509294
0.167030339	2953.051917	2933.051917
0.170920975	2952.590781	2932.590781
0.174902236	2952.125868	2932.125868
0.178976232	2951.657162	2931.657162
0.183145124	2951.184644	2931.184644
0.187411122	2950.708298	2930.708298
0.191776488	2950.228108	2930.228108
0.196243536	2949.744056	2929.744056
0.200814636	2949.256126	2929.256126
0.205492209	2948.764302	2928.764302
0.210278738	2948.268567	2928.268567
0.215176759	2947.768906	2927.768906
0.220188869	2947.265304	2927.265304
0.225317727	2946.757743	2926.757743
0.230566051	2946.246210	2926.246210
0.235936624	2945.730689	2925.730689
0.241432294	2945.211165	2925.211165
0.247055975	2944.687624	2924.687624
0.252810648	2944.160050	2924.160050
0.258699364	2943.628431	2923.628431
0.264725247	2943.092751	2923.092751
0.27089149	2942.552998	2922.552998
0.277201363	2942.009157	2922.009157
0.283658212	2941.461216	2921.461216
0.290265461	2940.909161	2920.909161
0.297026612	2940.352979	2920.352979
0.303945251	2939.792658	2919.792658
0.311025045	2939.228187	2919.228187
0.318269749	2938.659552	2918.659552
0.325683204	2938.086742	2918.086742
0.33326934	2937.509746	2917.509746
0.34103218	2936.928552	2916.928552
0.34897584	2936.343150	2916.343150
0.357104532	2935.753530	2915.753530
0.365422565	2935.159680	2915.159680
0.37393435	2934.561590	2914.561590
0.3826444	2933.959252	2913.959252
0.391557333	2933.352656	2913.352656
0.400677875	2932.741792	2912.741792
0.410010861	2932.126652	2912.126652
0.419561241	2931.507227	2911.507227
0.429334078	2930.883510	2910.883510
0.439334553	2930.255492	2910.255492
0.44956797	2929.623166	2909.623166
0.460039753	2928.986524	2908.986524
0.470755455	2928.345561	2908.345561
0.481720758	2927.700269	2907.700269
0.492941476	2927.050642	2907.050642
0.504423558	2926.396674	2906.396674
