Distance	Pressure	Distance	Pressure
m	kPa	m	kPa
	    1.00 day		    1.00 day
	1 1 45 - 101 1 45		1 1 45 - 101 1 45
0.057441574	9897.59375	0.057441574	9867.369141
0.118696138	9898.324219	0.118696138	9871.020508
0.126672506	9899.072266	0.126672506	9874.759766
0.135381877	9899.836914	0.135381877	9878.582031
0.14489162	9900.617188	0.14489162	9882.484375
0.15527527	9901.413086	0.15527527	9886.462891
0.166613117	9902.222656	0.166613117	9890.514648
0.178992867	9903.046875	0.178992867	9894.633789
0.192510322	9903.883789	0.192510322	9898.819336
0.207270026	9904.733398	0.207270026	9903.06543
0.223386079	9905.59375	0.223386079	9905.59375
0.240983129	9906.46582	0.240983129	9906.46582
0.260197282	9907.347656	0.260197282	9907.347656
0.281177104	9908.239258	0.281177104	9908.239258
0.304084957	9909.139648	0.304084957	9909.139648
0.329097986	9910.048828	0.329097986	9910.048828
0.35640958	9910.964844	0.35640958	9910.964844
0.386231005	9911.888672	0.386231005	9911.888672
0.418792963	9912.819336	0.418792963	9912.819336
0.454347253	9913.755859	0.454347253	9913.755859
0.49316889	9914.698242	0.49316889	9914.698242
0.535557985	9915.646484	0.535557985	9915.646484
0.581842601	9916.599609	0.581842601	9916.599609
0.632380664	9917.556641	0.632380664	9917.556641
0.687563062	9918.518555	0.687563062	9918.518555
0.747816443	9919.484375	0.747816443	9919.484375
0.813606858	9920.454102	0.813606858	9920.454102
0.88544327	9921.426758	0.88544327	9921.426758
0.963881254	9922.402344	0.963881254	9922.402344
1.049527407	9923.380859	1.049527407	9923.380859
1.143043995	9924.362305	1.143043995	9924.362305
1.2451545	9925.345703	1.2451545	9925.345703
1.356648445	9926.332031	1.356648445	9926.332031
1.478388548	9927.319336	1.478388548	9927.319336
1.611315966	9928.30957	1.611315966	9928.30957
1.756458998	9929.300781	1.756458998	9929.300781
1.914940476	9930.293945	1.914940476	9930.293945
2.087985992	9931.288086	2.087985992	9931.288086
2.276933432	9932.28418	2.276933432	9932.28418
2.483244896	9933.28125	2.483244896	9933.28125
2.708515882	9934.279297	2.708515882	9934.279297
2.954488277	9935.279297	2.954488277	9935.279297
3.223064899	9936.279297	3.223064899	9936.279297
3.51632309	9937.280273	3.51632309	9937.280273
3.836530447	9938.282227	3.836530447	9938.282227
4.186163902	9939.28418	4.186163902	9939.28418
4.567927361	9940.288086	4.567927361	9940.288086
4.984773636	9941.291992	4.984773636	9941.291992
5.439926147	9942.295898	5.439926147	9942.295898
5.936906338	9943.300781	5.936906338	9943.300781
6.479557037	9944.306641	6.479557037	9944.306641
7.072075844	9945.3125	7.072075844	9945.3125
7.719045162	9946.318359	7.719045162	9946.318359
8.425468445	9947.325195	8.425468445	9947.325195
9.196810722	9948.332031	9.196810722	9948.332031
10.0390358	9949.338867	10.0390358	9949.338867
10.95865917	9950.34668	10.95865917	9950.34668
11.96279049	9951.354492	11.96279049	9951.354492
13.05920029	9952.362305	13.05920029	9952.362305
14.25637054	9953.370117	14.25637054	9953.370117
15.56355572	9954.378906	15.56355572	9954.378906
16.99086571	9955.386719	16.99086571	9955.386719
18.54933929	9956.395508	18.54933929	9956.395508
20.25103569	9957.40332	20.25103569	9957.40332
22.10911179	9958.412109	22.10911179	9958.412109
24.13793564	9959.420898	24.13793564	9959.420898
26.35320091	9960.429688	26.35320091	9960.429688
28.77204132	9961.438477	28.77204132	9961.438477
31.41316605	9962.446289	31.41316605	9962.446289
34.29700089	9963.455078	34.29700089	9963.455078
37.44585037	9964.462891	37.44585037	9964.462891
40.88407135	9965.470703	40.88407135	9965.470703
44.63825226	9966.478516	44.63825226	9966.478516
48.73742676	9967.485352	48.73742676	9967.485352
53.21330261	9968.492188	53.21330261	9968.492188
58.10049438	9969.499023	58.10049438	9969.499023
63.43681335	9970.503906	63.43681335	9970.503906
69.26351929	9971.508789	69.26351929	9971.508789
75.62567139	9972.512695	75.62567139	9972.512695
82.57247925	9973.514648	82.57247925	9973.514648
90.15768433	9974.515625	90.15768433	9974.515625
98.43994904	9975.515625	98.43994904	9975.515625
107.4833221	9976.512695	107.4833221	9976.512695
117.3577499	9977.506836	117.3577499	9977.506836
128.1396027	9978.499023	128.1396027	9978.499023
139.9122925	9979.487305	139.9122925	9979.487305
152.7668457	9980.470703	152.7668457	9980.470703
166.8026428	9981.450195	166.8026428	9981.450195
182.1282959	9982.423828	182.1282959	9982.423828
198.8623505	9983.389648	198.8623505	9983.389648
217.1342468	9984.347656	217.1342468	9984.347656
237.0852509	9985.295898	237.0852509	9985.295898
258.8696594	9986.233398	258.8696594	9986.233398
282.6560059	9987.15625	282.6560059	9987.15625
308.6282349	9988.064453	308.6282349	9988.064453
336.9872437	9988.954102	336.9872437	9988.954102
367.9523315	9989.822266	367.9523315	9989.822266
401.7630615	9990.666016	401.7630615	9990.666016
438.6808472	9991.482422	438.6808472	9991.482422
478.991272	9992.265625	478.991272	9992.265625
750.0318604	9998.887695	750.0318604	9998.887695
