tD/rD2	pD	pD'	pD/2pD'
0.01	2.67E-13	6.94E-12	0.01925735
0.01023293	4.83E-13	1.23E-11	0.01968946
0.010471285	8.61E-13	2.14E-11	0.02013092
0.010715193	1.52E-12	3.68E-11	0.02058191
0.010964782	2.64E-12	6.27E-11	0.02104263
0.011220185	4.53E-12	1.05E-10	0.02151326
0.011481536	7.69E-12	1.75E-10	0.02199400
0.011748976	1.29E-11	2.87E-10	0.02248505
0.012022644	2.14E-11	4.66E-10	0.02298662
0.012302688	3.51E-11	7.48E-10	0.02349891
0.012589254	5.71E-11	1.19E-09	0.02402213
0.012882496	9.17E-11	1.87E-09	0.02455649
0.013182567	1.46E-10	2.90E-09	0.02510222
0.013489629	2.29E-10	4.47E-09	0.02565953
0.013803843	3.58E-10	6.82E-09	0.02622864
0.014125375	5.52E-10	1.03E-08	0.02680978
0.014454398	8.44E-10	1.54E-08	0.02740318
0.014791084	1.28E-09	2.28E-08	0.02800908
0.015135612	1.92E-09	3.35E-08	0.02862771
0.015488166	2.86E-09	4.89E-08	0.02925930
0.015848932	4.22E-09	7.05E-08	0.02990412
0.016218101	6.17E-09	1.01E-07	0.03056239
0.016595869	8.96E-09	1.43E-07	0.03123438
0.016982437	1.29E-08	2.02E-07	0.03192034
0.017378008	1.84E-08	2.83E-07	0.03262052
0.017782794	2.61E-08	3.92E-07	0.03333519
0.018197009	3.68E-08	5.40E-07	0.03406461
0.018620871	5.14E-08	7.38E-07	0.03480905
0.019054607	7.13E-08	1.00E-06	0.03556879
0.019498446	9.82E-08	1.35E-06	0.03634409
0.019952623	1.34E-07	1.81E-06	0.03713524
0.020417379	1.83E-07	2.41E-06	0.03794252
0.020892961	2.46E-07	3.18E-06	0.03876621
0.021379621	3.31E-07	4.17E-06	0.03960661
0.021877616	4.41E-07	5.45E-06	0.04046400
0.022387211	5.84E-07	7.07E-06	0.04133869
0.022908677	7.70E-07	9.11E-06	0.04223097
0.023442288	1.01E-06	1.168E-05	0.04314115
0.023988329	1.31E-06	1.48891E-05	0.04406954
0.024547089	1.70E-06	1.88753E-05	0.04501644
0.025118864	2.19E-06	2.38E-05	0.04598216
0.025703958	2.80E-06	2.98515E-05	0.04696703
0.02630268	3.57E-06	3.72491E-05	0.04797136
0.026915348	4.53E-06	4.62464E-05	0.04899548
0.027542287	5.72E-06	5.71347E-05	0.05003971
0.028183829	7.18E-06	7.02478E-05	0.05110439
0.028840315	8.97E-06	8.59652E-05	0.05218984
0.029512092	1.11621E-05	0.000104717	0.05329640
0.030199517	1.38224E-05	0.000126987	0.05442441
0.030902954	1.70412E-05	0.000153319	0.05557421
0.031622777	2.09188E-05	0.000184319	0.05674615
0.032359366	2.55704E-05	0.00022066	0.05794057
0.033113112	3.11273E-05	0.000263087	0.05915782
0.033884416	3.77389E-05	0.000312417	0.06039826
0.034673685	4.55745E-05	0.000369549	0.06166225
0.035481339	5.48247E-05	0.000435461	0.06295013
0.036307805	6.57038E-05	0.000511216	0.06426226
0.037153523	7.84514E-05	0.000597962	0.06559903
0.03801894	9.33347E-05	0.000696936	0.06696078
0.038904514	0.00011065	0.000809465	0.06834788
0.039810717	0.000130727	0.000936966	0.06976072
0.040738028	0.000153926	0.001080945	0.07119965
0.041686938	0.000180645	0.001242997	0.07266505
0.042657952	0.00021132	0.001424807	0.07415729
0.043651583	0.000246425	0.001628141	0.07567676
0.044668359	0.000286478	0.001854853	0.07722383
0.045708819	0.000332038	0.002106871	0.07879889
0.046773514	0.000383712	0.002386202	0.08040231
0.047863009	0.000442152	0.002694918	0.08203449
0.048977882	0.00050806	0.003035157	0.08369579
0.050118723	0.000582185	0.003409113	0.08538662
0.051286138	0.000665331	0.00381903	0.08710735
0.052480746	0.000758352	0.004267193	0.08885838
0.05370318	0.000862154	0.004755921	0.09064009
0.054954087	0.000977699	0.005287555	0.09245287
0.056234133	0.001106002	0.005864455	0.09429712
0.057543994	0.001248133	0.006488984	0.09617322
0.058884366	0.001405215	0.007163502	0.09808156
0.060255959	0.001578426	0.007890353	0.10002254
0.0616595	0.001768999	0.008671856	0.10199653
0.063095734	0.001978217	0.009510297	0.10400395
0.064565423	0.002207418	0.010407915	0.10604517
0.066069345	0.00245799	0.011366893	0.10812058
0.067608298	0.00273137	0.012389349	0.11023058
0.069183097	0.003029044	0.013477325	0.11237554
0.070794578	0.003352542	0.01463278	0.11455587
0.072443596	0.00370344	0.015857577	0.11677195
0.074131024	0.004083356	0.017153477	0.11902415
0.075857758	0.004493946	0.018522131	0.12131287
0.077624712	0.004936902	0.01996507	0.12363848
0.079432823	0.005413952	0.021483701	0.12600138
0.081283052	0.005926854	0.023079302	0.12840193
0.083176377	0.006477393	0.024753008	0.13084051
0.085113804	0.007067379	0.026505817	0.13331751
0.087096359	0.007698644	0.028338578	0.13583329
0.089125094	0.008373038	0.03025199	0.13838821
0.091201084	0.009092423	0.0322466	0.14098266
0.09332543	0.009858675	0.034322799	0.14361700
0.095499259	0.010673675	0.036480824	0.14629158
0.097723722	0.011539307	0.038720749	0.14900677
0.1	0.012457459	0.041042499	0.15176292
0.102329299	0.013430011	0.043445837	0.15456038
0.104712855	0.014458837	0.045930374	0.15739951
0.107151931	0.015545802	0.048495565	0.16028065
0.10964782	0.016692754	0.051140718	0.16320414
0.112201845	0.017901526	0.053864991	0.16617032
0.114815362	0.019173928	0.056667402	0.16917952
0.117489755	0.020511747	0.059546826	0.17223208
0.120226443	0.021916742	0.062502007	0.17532831
0.123026877	0.023390642	0.065531557	0.17846854
0.125892541	0.024935141	0.068633964	0.18165308
0.128824955	0.0265519	0.071807599	0.18488224
0.131825674	0.028242537	0.075050721	0.18815633
0.134896288	0.030008632	0.078361481	0.19147566
0.138038426	0.03185172	0.081737933	0.19484051
0.141253754	0.033773291	0.085178038	0.19825117
0.144543977	0.035774787	0.088679671	0.20170794
0.147910839	0.037857597	0.092240626	0.20521108
0.151356125	0.040023062	0.095858628	0.20876088
0.154881662	0.04227247	0.099531336	0.21235759
0.158489319	0.044607051	0.10325635	0.21600149
0.16218101	0.047027983	0.107031223	0.21969282
0.165958691	0.049536385	0.110853459	0.22343184
0.169824365	0.052133317	0.114720526	0.22721879
0.173780083	0.054819785	0.118629864	0.23105390
0.177827941	0.057596729	0.122578885	0.23493740
0.181970086	0.060465036	0.126564988	0.23886952
0.186208714	0.063425527	0.130585556	0.24285047
